"Anatomical Strucures, Cell Types and Biomarkers Table for Vasculature v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Griffin Weber; Sujin Lee; Rajeev Malhotra; Marc Halushka; Avinash Boppana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-2597-881X; 0000-0002-6692-6880; 0000-0003-0120-4630; 0000-0002-7112-7389; 0000-0003-0834-8274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,10.48539/HBM426.GZPN.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,3/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID,AS/11,AS/11/LABEL,AS/11/ID,AS/12,AS/12/LABEL,AS/12/ID,AS/13,AS/13/LABEL,AS/13/ID,AS/14,AS/14/LABEL,AS/14/ID,AS/15,AS/15/LABEL,AS/15/ID,AS/16,AS/16/LABEL,AS/16/ID,AS/17,AS/17/LABEL,AS/17/ID,AS/18,AS/18/LABEL,AS/18/ID,AS/19,AS/19/LABEL,AS/19/ID,CT/1,CT/1/LABEL,CT/1/ID,BG/1,BG/1/LABEL,BG/1/ID,FTU,REF/1,REF/1/DOI,REF/1/NOTES
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,brachiocephalic artery,brachiocephalic artery,UBERON:0001529,right common carotid artery,right common carotid artery plus branches,UBERON:0001531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Common_carotid_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,brachiocephalic artery,brachiocephalic artery,UBERON:0001529,right subclavian artery,right subclavian artery,UBERON:0001534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Subclavian_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Common_carotid_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/External_carotid_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,clival branch of ascending pharyngeal artery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,inferior tympanic artery,Inferior tympanic artery,fma49506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Inferior_tympanic_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,neuromeningeal trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,neuromeningeal trunk,,,hypoglossal branch of ascending pharyngeal artery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,neuromeningeal trunk,,,jugular branch of ascending pharyngeal artery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,neuromeningeal trunk,,,odontoid arcade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://neupsykey.com/the-external-carotid-artery-and-extracranial-circulation/,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,neuromeningeal trunk,,,posterior meningeal artery,posterior meningeal artery,UBERON:0010249,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,http://neuroangio.org/anatomy-and-variants/posterior-meningeal-artery/,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,pharyngeal trunk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Ascending_pharyngeal_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,pharyngeal trunk,,,eustachian branch of ascending pharyngeal artery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,pharyngeal trunk,,,inferior pharyngeal artery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,pharyngeal trunk,,,middle pharyngeal artery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,pharyngeal trunk,,,superior pharyngeal artery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,ascending pharyngeal artery,Ascending pharyngeal artery,fma49497,pharyngeal trunk,,,superior pharyngeal artery,,,pterygovaginal artery,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,"Lotfi Hacein-Bey, David L. Daniels, John L. Ulmer, Leighton P. Mark, Michelle M. Smith, James M. Strottmann, Douglas Brown, Glenn A. Meyer, Phillip A. Wackym. American Journal of Neuroradiology Aug 2002, 23 (7) 1246-1256",,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,facial artery,facial artery,UBERON:0001612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Facial_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,facial artery,facial artery,UBERON:0001612,angular artery,ocular angle artery,UBERON:0010408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Angular_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,facial artery,facial artery,UBERON:0001612,ascending palatine artery,Ascending palatine artery,fma49555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Ascending_palatine_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,facial artery,facial artery,UBERON:0001612,glandular branches of facial artery,Set of glandular branches of facial artery,fma71675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Glandular_branches_of_facial_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,facial artery,facial artery,UBERON:0001612,inferior labial artery,artery of lower lip,UBERON:0003471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Inferior_labial_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,facial artery,facial artery,UBERON:0001612,lateral nasal artery,Lateral nasal artery,fma49580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Lateral_nasal_branch_of_facial_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,facial artery,facial artery,UBERON:0001612,submental artery,Submental artery,fma49561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Submental_artery,,
vasculature,vasculature,UBERON:0002049,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,common carotid artery,common carotid artery plus branches,UBERON:0001530,external carotid artery,external carotid artery,UBERON:0001070,facial artery,facial artery,UBERON:0001612,superior labial artery,artery of upper lip,UBERON:0003470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,PECAM1 (CD31),PECAM1,HGNC:8823,,https://en.wikipedia.org/wiki/Superior_labial_artery,,
