"Anatomical Strucures, Cell Types and Biomarkers Table for Lung v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Gloria Pryhuber; Xin Sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-9185-3994; 0000-0001-8387-4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Jeff Whitsett; Ed Morrisey; Martijn Nawijn; Purushotha Tata; Ansley Conchola; Ellen Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"10.1038/s41586-020-2922-4; 10.1038/s41586-020-2922-4; 10.1152/physrev.00001.2018; 10.1038/s41586-018-0394-6; doi:10.1172/jci.insight.90558; 10.1126/sciadv.aba1983; 10.7554/eLife.62522; 10.1164/rccm.201911-2199OC; Gray's Anatomy The Anatomical Basis of Clinical Practice ed.Standring, S. Elsevier. 2021 ISBN:978-0-7020-7705-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,10.48539/HBM868.DWJZ.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,3/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,CT/1,CT/1/LABEL,CT/1/ID,CT/1/NOTES,AS-CT PMID,AS-CT DOI,AS-CT Reference,BG/1,BG/1/LABEL,BG/1/ID,BG/2,BG/2/LABEL,BG/2/ID,BG/3,BG/3/LABEL,BG/3/ID,BG/4,BG/4/LABEL,BG/4/ID,BG/5,BG/5/LABEL,BG/5/ID,BP/1,BP/1/LABEL,BP/1/ID,BP/2,BP/2/LABEL,BP/2/ID,FTU,REF/1,REF/1/DOI,REF/2,REF/2/DOI,REF/3,REF/3/DOI
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal submucosal gland,trachea gland,UBERON:0005203,collecting ducts of tracheal submucosal gland,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland collecting duct epithelium,epithelial cells of collecting ducts of tracheal submucosal glands,LMHA:00693,,,,,BPIFA1,BPI Fold Containing Family A Member 1,HGNC:15749,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal submucosal gland,trachea gland,UBERON:0005203,mucous tubules of tracheal submucosal gland,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland mucous cells,mucus cells of tracheal submucosal glands,LMHA:00238,,"Chen et al., 2009",,,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,AGR2,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal submucosal gland,trachea gland,UBERON:0005203,distal acini of tracheal submucosal gland,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland serous cells,serous cells of tracheal submucosal glands,LMHA:00340,,,,,LYZ,lysozyme,HGNC:6740,PRR4,proline rich 4,HGNC:18020,LPO,lactoperoxidase,HGNC:6678,LTF,lactotransferrin,HGNC:6720,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal submucosal gland,trachea gland,UBERON:0005203,myoepithelial cells of tracheal submucosal gland,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland myoepithelium,myoepithelial cells of glands,CL:0000185,,,,,TP63,tumor protein p63,HGNC:15979,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,KRT5,keratin 5,HGNC:6442,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,tracheal cartilage,trachea cartilage,UBERON:0003604,,,,,,,,,,,,,,,,mesenchymal,mesenchymal,CL:0008019,chondrocyte,tracheobronchial chondrocyte,CL:0019002,,,,,Col2a1,collagen type II alpha 1 chain,HGNC:2200,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,trachea blood vessel,trachea blood vessel,UBERON:0003505,inferior thyroid artery,inferior thyroid artery,UBERON:0007149,,,,,,,,,,,,,endothelial,endothelial,CL:0000115,arterial endothelial cell,arterial endothelial cell,CL:1000413,,,,,EFNB2,ephrin B2,HGNC:3227,GJA5,gap junction protein alpha 5,HGNC:4279,BMX,BMX non-receptor tyrosine kinase,HGNC:1079,DKK2,dickkopf WNT signaling pathway inhibitor 2,HGNC:2892,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,trachea blood vessel,trachea blood vessel,UBERON:0003505,bronchial artery,bronchial artery,UBERON:0002040,respiratory system arterial endothelium,respiratory system arterial endothelium,UBERON:0004848,,,,,,,,,,endothelial,endothelial,CL:0000115,arterial endothelial cell,arterial endothelial cell,CL:1000413,,,,,EFNB2,ephrin B2,HGNC:3227,GJA5,gap junction protein alpha 5,HGNC:4279,BMX,BMX non-receptor tyrosine kinase,HGNC:1079,DKK2,dickkopf WNT signaling pathway inhibitor 2,HGNC:2892,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,trachea blood vessel,trachea blood vessel,UBERON:0003505,bronchial artery,bronchial artery,UBERON:0002040,respiratory system arterial smooth muscle,lung arterial smooth muscle,UBERON:0012416,,,,,,,,,,mesenchymal,mesenchymal,CL:0008019,vascular smooth muscle,blood vessel smooth muscle cell,CL:0019018,,,,,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,NOTCH3,notch receptor 3,HGNC:7883,HEY2,hes related family bHLH transcription factor with YRPW motif 2,HGNC:4881,,,,,,,,,,,,,,,,,,,
,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,trachea blood vessel,trachea blood vessel,UBERON:0003505,inferior thyroid vein,inferior thyroid vein,UBERON:0007156,,,,,,,,,,,,,endothelial,endothelial,CL:0000115,venous endothelial cell,Venous endothelial cell,LMHA:00805,,,,,EFNB4,EPH receptor B4,HGNC:3395,Nr2F2,nuclear receptor subfamily 2 group F member 2,HGNC:7976,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,trachea blood vessel,trachea blood vessel,UBERON:0003505,bronchial vein,bronchial vein,UBERON:0001592,respiratory system venous endothelium,respiratory system venous endothelium,UBERON:0004849,,,,,,,,,,endothelial,endothelial,CL:0000115,venous endothelial cell,Venous endothelial cell,LMHA:00805,,,,,EFNB4,EPH receptor B4,HGNC:3395,Nr2F2,nuclear receptor subfamily 2 group F member 2,HGNC:7976,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Trachea,Trachea,UBERON:0003126,trachea blood vessel,trachea blood vessel,UBERON:0003505,bronchial vein,bronchial vein,UBERON:0001592,respiratory system venous smooth muscle,lung venous smooth muscle,UBERON:0012418,,,,,,,,,,mesenchymal,mesenchymal,CL:0008019,vascular smooth muscle,blood vessel smooth muscle cell,CL:0019018,,,,,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,NOTCH3,notch receptor 3,HGNC:7883,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,ciliated bronchial cell,ciliated cell of the bronchus,CL:0002332,,,,,FOXJ1,forkhead box J1,HGNC:3816,RSPH1,radial spoke head component 1,HGNC:12371,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,DNAH12,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,basal,basal epithelial cell of tracheobronchial tree,CL:0002329,,,,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,NGFR,nerve growth factor receptor,HGNC:7809,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,goblet,lung goblet cell,CL:1000143,,,,,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,TFF2,trefoil factor 2,HGNC:11756,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,neuroendocrine cells,lung neuroendocrine cell,CL:1000223,,,,,ASCL1,achaete-scute family bHLH transcription factor 1,HGNC:738,GRP,gastrin releasing peptide,HGNC:4605,CHGA,chromogranin A,HGNC:1929,CALCA,calcitonin related polypeptide alpha,HGNC:1437,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,tuft,brush cell of tracheobronchial tree,CL:0002075,,"Ualiyeva S, et al. Airway brush cells generate cysteinyl leukotrienes through the ATP sensor P2Y2. Sci Immunol 2020; 5.",,,POU2F3,POU class 2 homeobox 3,HGNC:19864,ASCL2,achaete-scute family bHLH transcription factor 2,HGNC:739,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,ionocyte,pulmonary ionocyte,CL:0017000,,,,,ASCL3,achaete-scute family bHLH transcription factor 3,HGNC:740,FOXI1,forkhead box I1,HGNC:3815,ATP6V0B,ATPase H+ transporting V0 subunit b,HGNC:861,CFTR,CF transmembrane conductance regulator,HGNC:1884,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial epithelium,epithelium of lobar bronchus,UBERON:0002339,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,bronchial serous cell,serous cell of epithelium of bronchus,CL:1000331,,,,,LYZ,lysozyme,HGNC:6740,LTF,lactotransferrin,HGNC:6720,PIGR,polymeric immunoglobulin receptor,HGNC:8968,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial smooth muscle,bronchus smooth muscle,UBERON_0004242,,,,,,,,,,,,,,,,mesenchymal,mesenchymal,CL:0008019,bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,,,,,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,LGR6,leucine rich repeat containing G protein-coupled receptor 6,HGNC:19719,MYH11,myosin heavy chain 11,HGNC:7569,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,cartilagenous plate,cartilage of main bronchus,UBERON:0001102,,,,,,,,,,,,,,,,mesenchymal,mesenchymal,CL:0008019,chondrocyte,tracheobronchial chondrocyte,CL:0019002,,,,,Col2a1,collagen type II alpha 1 chain,HGNC:2200,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial vessels,lobar bronchus vasculature,UBERON:0004889,right bronchial artery,right bronchial artery,fma31933,respiratory system arterial endothelium,respiratory system arterial endothelium,UBERON:0004848,,,,,,,,,,endothelial,endothelial,CL:0000115,arterial endothelial cell,arterial endothelial cell,CL:1000413,,,,,EFNB2,ephrin B2,HGNC:3227,GJA5,gap junction protein alpha 5,HGNC:4279,BMX,BMX non-receptor tyrosine kinase,HGNC:1079,DKK2,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial vessels,lobar bronchus vasculature,UBERON:0004889,right bronchial artery,right bronchial artery,fma31933,arterial system smooth muscle,arterial system smooth muscle,UBERON:0004695,,,,,,,,,,mesenchymal,mesenchymal,CL:0008019,vascular smooth muscle,blood vessel smooth muscle cell,CL:0019018,,,,,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,NOTCH3,notch receptor 3,HGNC:7883,HEY2,hes related family bHLH transcription factor with YRPW motif 2,HGNC:4881,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial vessels,lobar bronchus vasculature,UBERON:0004889,right bronchial vein,right bronchial vein,fma4942,respiratory system venous endothelium,respiratory system venous endothelium,UBERON:0004849,,,,,,,,,,endothelial,endothelial,CL:0000115,venous endothelial cell,Venous endothelial cell,LMHA:00805,,,,,EFNB4,EPH receptor B4,HGNC:3395,Nr2F2,nuclear receptor subfamily 2 group F member 2,HGNC:7976,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial vessels,lobar bronchus vasculature,UBERON:0004889,right bronchial vein,right bronchial vein,fma4942,venous system smooth muscle,venous system smooth muscle,UBERON:0004696,,,,,,,,,,mesenchymal,mesenchymal,CL:0008019,vascular smooth muscle,blood vessel smooth muscle cell,CL:0019018,,,,,NTRK3,neurotrophic receptor tyrosine kinase 3,HGNC:8033,NOTCH3,notch receptor 3,HGNC:7883,HEY2,hes related family bHLH transcription factor with YRPW motif 2,HGNC:4881,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,ciliated ducts of bronchial submucosal gland,ciliated ducts of bronchial submucosal gland,,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland ciliated duct cells,ciliated cells of terminal ciliated ducts of submucosal glands,LMHA:00142,,,,,FOXJ1,forkhead box J1,HGNC:3816,TUBA1A,tubulin alpha 1a,HGNC:20766,DYNLRB2,dynein light chain roadblock-type 2,HGNC:15467,TUBB4B,tubulin beta 4B class IVb,HGNC:20771,RSPH1,radial spoke head component 1,HGNC:12371,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,ciliated ducts of bronchial submucosal gland,ciliated ducts of bronchial submucosal gland,,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland basal cells,basal cells of terminal ciliated ducts of submucosal glands,LMHA:00087,,,,,TP63,tumor protein p63,HGNC:15979,KRT5,keratin 5,HGNC:6442,FOXC1,forkhead box C1,HGNC:3800,KRT14,keratin 14,HGNC:6416,CTNNB1,catenin beta 1,HGNCL2514,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,ciliated ducts of bronchial submucosal gland,ciliated ducts of bronchial submucosal gland,,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland secretory,secretory cells of terminal ciliated ducts of submucosal glands,LMHA:00143,,,,,MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",HGNC:7515,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,TFF2,trefoil factor 2,HGNC:11756,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial submucosal gland,mucous gland of lung,UBERON:0019190,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland collecting duct epithelium,epithelial cells of collecting ducts of submucosal glands,LMHA:00693,,,,,BPIFA1,BPI Fold Containing Family A Member 1,HGNC:15749,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial submucosal gland,mucous gland of lung,UBERON:0019190,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland mucous cells,mucus cells of submucosal glands,LMHA:00238,,,,,MUC5B,"mucin 5B, oligomeric mucus/gel-forming",HGNC:7516,SPDEF,SAM pointed domain containing ETS transcription factor,HGNC:17257,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial submucosal gland,mucous gland of lung,UBERON:0019190,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland serous cells,serous cells of submucosal glands,LMHA:00340,,,,,PIGR,polymeric immunoglobulin receptor,HGNC:8968,LYZ,lysozyme,HGNC:6740,,,,,,,,,,,,,,,,,,,,,,
Respiratory System,Respiratory System,UBERON:0001004,Right Main Bronchus,Right Main Bronchus,UBERON:0002177,bronchial submucosal gland,mucous gland of lung,UBERON:0019190,,,,,,,,,,,,,,,,epithelial,epithelial,CL:0000066,submucosal gland myoepithelium,myoepithelial cells of glands,CL:0000185,,,,,TP63,tumor protein p63,HGNC:15979,ACTA2,"actin alpha 2, smooth muscle",HGNC:130,KRT5,keratin 5,HGNC:6442,,,,,,,,,,,,,,,,,,,
